Metabolite ID,Metabolites Names
4abut[e],4-Aminobutanoate
ac[e],acetate
acald[e],acetaldehyde
adocbl[e],Adenosylcobalamin
ala_L[e],L-alanine
alaasp[e],L-alanyl-L-aspartate
alagln[e],L-alanyl-L-glutamine
alaglu[e],L-alanyl-L-glutamate
alagly[e],L-alanylglycine
alahis[e],L-alanyl-L-histidine
alaleu[e],L-alanyl-L-leucine
alathr[e],L-alanyl-L-threonine
arab_L[e],L-arabinose
arg_L[e],L-argininium(1+)
arsenb[e],Arsenobetaine
asn_L[e],L-asparagine
aso3[e],arsenite
aso4[e],arsenate
asp_L[e],L-aspartate(1-)
btn[e],Biotin
ca2[e],calcium(2+)
cbl1[e],Cob(I)alamin
cbl2[e],Cob(II)alamin
cd2[e],Cadmium
cgly[e],L-cysteinylglycine
cit[e],citrate(3-); Citrate
cl[e],Chloride
co2[e],carbon dioxide; CO2
cobalt2[e],Co2+
cu2[e],Cu2+
cys_L[e],L-cysteine
dextrin[e],Dextrin
drib[e],2-deoxy-D-ribose
etoh[e],ethanol
fe2[e],Fe2+
fe3[e],Fe3+
fol[e],Folate
for[e],Formate; formate
gal[e],D-Galactose
glc_D[e],D-glucose
gln_L[e],L-glutamine
glu_L[e],L-glutamate(1-)
gly[e],Glycine
glyasn[e],Glycyl-L-asparagine
glyasp[e],Glycyl-L-aspartate
glyb[e],glycine betaine
glyc3p[e],Glycerol 3-phosphate
glycys[e],Gly-Cys
glygln[e],Glycyl-L-glutamine
glyglu[e],Glycyl-L-glutamate
glyleu[e],Glycylleucine
glymet[e],Glycyl-L-methionine
glyphe[e],Glycylphenylalanine
glypro[e],Glycylproline
glytyr[e],Glycyl-L-tyrosine
h[e],proton
h2o[e],Water; H2O
hg2[e],Hg2+
his_L[e],L-histidine
hxan[e],hypoxanthine; Hypoxanthine
ile_L[e],L-isoleucine
k[e],potassium
lac_D[e],D-lactate; (R)-lactate
lac_L[e],(S)-lactate; L-lactate
lcts[e],Lactose
leu_L[e],L-leucine
lys_L[e],L-lysinium(1+)
malt[e],Maltose
malthx[e],Maltohexaose
malttr[e],maltotriose
mantr[e],"mannotriose (beta-1,4)"
met_D[e],D-Methionine
met_L[e],L-methionine
metala[e],L-methionyl-L-alanine
metsox_R_L[e],L-methionine-R-sulfoxide
metsox_S_L[e],L-Methionine Sulfoxide
mg2[e],magnesium
mn2[e],Mn2+
mqn7[e],Menaquinone 7
na1[e],Sodium
nac[e],Nicotinate
nh4[e],Ammonium; ammonium
o2[e],O2
ocdca[e],octadecanoate (n-C18:0)
orn[e],Ornithine
pb[e],Lead
phe_L[e],L-phenylalanine
pheme[e],Protoheme
pi[e],hydrogenphosphate
pnto_R[e],(R)-Pantothenate
pro_L[e],L-proline
pullulan1200[e],"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)"
pydx[e],Pyridoxal
rib_D[e],D-ribose
ribflv[e],Riboflavin
ser_L[e],L-serine
sheme[e],Siroheme
so4[e],sulfate
spmd[e],Spermidine
stys[e],Stachyose
succ[e],Succinate; succinate(2-)
sucr[e],Sucrose
taur[e],Taurine
thm[e],Thiamin
thr_L[e],L-threonine
thymd[e],Thymidine
tma[e],trimethylamine
tre[e],Trehalose
trp_L[e],L-tryptophan
tyr_L[e],L-tyrosine
val_L[e],L-valine
xyl_D[e],aldehydo-D-xylose
zn2[e],Zinc
2ddglcn[e],2-Dehydro-3-deoxy-D-gluconate
2hyoxplac[e],2-Hydroxyphenylacetate
34dhpha[e],"(3,4-dihydroxyphenyl)acetate"
34dhphe[e],L-dopa
3hcinnm[e],3-hydroxycinnamic acid
3hpppn[e],3-(3-hydroxy-phenyl)propionate
3mop[e],3-methyl-2-oxopentanoate
4abz[e],4-Aminobenzoate
4hoxpacd[e],(4-hydroxyphenyl)acetaldehyde
5htrp[e],5-hydroxy-L-tryptophan
5mta[e],5-Methylthioadenosine
Lcyst[e],L-cysteate(1-)
Lkynr[e],L-kynurenine
acac[e],acetoacetate
acgam[e],N-acetyl-D-glucosamine
akg[e],2-Oxoglutarate; 2-oxoglutarate(2-)
alltn[e],Allantoin
arab_D[e],D-Arabinose
arbt[e],Arbutin
bhb[e],(R)-3-hydroxybutyrate
but[e],butyrate
butso3[e],butanesulfonate
chol[e],Choline
csn[e],cytosine
dhcinnm[e],"2,3-dihydroxicinnamic acid"
dhpppn[e],"3-(2,3-Dihydroxyphenyl)propanoate"
dopa[e],dopaminium(1+)
ethso3[e],ethanesulfonate
fru[e],D-Fructose
fum[e],Fumarate
galctn_D[e],D-Galactonate
galt[e],galactitol
gam[e],D-Glucosamine
gcald[e],glycolaldehyde
glcn[e],D-gluconate
glyc[e],Glycerol
gthrd[e],Reduced glutathione; glutathionate(1-)
gua[e],Guanine; guanine
h2s[e],Hydrogen sulfide
hdca[e],Hexadecanoate (n-C16:0)
hexs[e],hexanesulfonate
hista[e],histamium
ind3ac[e],indole-3-acetate
isetac[e],Isethionic acid
mal_L[e],(S)-malate(2-)
man[e],D-Mannose
mnl[e],D-Mannitol
mops[e],3-(n-Morpholino)Propanesulfonic Acid
mso3[e],methanesulfonate
n2[e],Nitrogen
n2o[e],Nitrous oxide
no2[e],Nitrite
no3[e],Nitrate
pac[e],phenylacetate
ppa[e],propionate
ppi[e],Diphosphate
ptrc[e],Putrescine
pydam[e],Pyridoxamine
pydxn[e],Pyridoxine
salcn[e],Salicin
sbt_D[e],D-glucitol
srtn[e],serotonin(1+)
sulfac[e],sulfoacetate
trypta[e],tryptaminium
tsul[e],thiosulfate(2-)
ttdca[e],tetradecanoate (n-C14:0)
tym[e],tyraminium
ura[e],uracil
tmao[e],Trimethylamine N-oxide
xan[e],Xanthine
15dap[e],"1,5-Diaminopentane"
26dap_M[e],"meso-2,6-Diaminoheptanedioate"
2dmmq8[e],2-Demethylmenaquinone 8
2obut[e],2-Oxobutanoate
ade[e],Adenine; adenine
cro4[e],chromate
cytd[e],Cytidine
dad_2[e],2-deoxyadenosine
dcyt[e],Deoxycytidine
dgsn[e],Deoxyguanosine
glutar[e],Glutarate
h2[e],Hydrogen
ins[e],Inosine
mqn8[e],Menaquinone 8
q8[e],Ubiquinone-8
uri[e],Uridine
Cit_Mg[e],Citrate-Mg
ctbt[e],crotonobetaine
ddca[e],laurate
gbbtn[e],gamma-butyrobetaine
nmn[e],NMN
dpcoa[e],Dephospho-CoA
dtmp[e],dTMP; dTMP(2-)
urea[e],Urea
12dgr180[e],"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
4hphac[e],4-hydroxyphenylacetate
HC00319[e],Malonate
adn[e],Adenosine
ala_D[e],D-alanine
chor[e],chorismate
cynt[e],Cyanate
etha[e],etha[c]
fecrm[e],Ferrichrome
galct_D[e],D-Galactarate
glcr[e],D-glucarate(2-)
glyclt[e],glycolate
ncam[e],Nicotinamide
ocdcea[e],octadecenoate (n-C18:1)
phpyr[e],keto-phenylpyruvate
ser_D[e],D-serine
